,Date,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,feature
22,20100809,"0.192813338114,0.089987319841,0.0294533239082,0.0687284521088,0.022388415149","0.190731189774,0.089987319841,0.00696815673059,0.0836290334977,0.022388415149","0.204445982607,0.053538291575,0.0253374492163","0.188064929428,0.089987319841,0.0414202318985,0.022388415149,0.0694351261714","0.191086928485,0.0826824624603,0.0828662447389,0.022388415149","0.18332727215,0.0696226091967,0.022388415149","0.197086728502,0.011187165681,0.0842484837696,0.022388415149","0.186487962429,0.083240832729,0.00491582687832,0.022388415149","0.197169811546,0.0894424616972,0.0188778979781,0.022388415149","0.089987319841,0.196586994524,0.0904844428476,0.0812868057067,0.022388415149,0.00348918979816","0.188083470593,0.089987319841,0.0877155502328,0.022388415149","0.197610776498,0.0898808049624,0.0812692898652,0.022388415149,0.00295917518234",sph_area_diff
23,20110120,"0.232472240313,0.293778326603,0.26382064008,0.28093049144,0.0256242702302,0.0260935882513","0.402516958202,0.365942487126,0.396625930982,0.0282754243424,0.0283918648535","0.379145354471,0.0158601606158,0.403966167156,0.0343910820516","0.398842556594,0.375942820273,0.399620982665,0.0202510786369,0.0283918648535","0.364454581171,0.392257655616,0.0158601606158,0.0296931185701","0.275981130092,0.288357727416,0.0158601606158,0.0260935882513","0.374454914318,0.392193746689,0.0219738831481,0.0296931185701","0.267882099222,0.289707860224,0.0158601606158,0.0260935882513","0.260765196873,0.282691656112,0.0202510786369,0.47627038874,0.0260935882513","0.339526091717,0.375578353488,0.392193746689,0.0213131807073,0.00771965157777,0.0320928054494","0.263099157252,0.270322869027,0.287177308838,0.276526349736,0.0256242702302,0.0283918648535","0.368257560415,0.396625930982,0.0213131807073,0.0260935882513",sph_area_diff
24,20110121,"0.089595073246,0.0905999829737,0.0224363214757,0.0135210624953","0.0780952858941,0.0948055831085,0.0163912541913,0.010073647592","0.261601739562,0.103492867649,0.010089712997,0.0135210624953","0.274655016331,0.0873381854656,0.0991738584746,0.013740100079,0.0167519204119","0.071628414015,0.0879289633519,0.0163912541913,0.278561707026,0.0135210624953","0.25867515957,0.100639709638,0.013740100079,0.443865225025,0.0157103447763","0.0851780286,0.0948055831085,0.0126313820794,0.0121629512516","0.0843680331934,0.0977275260608,0.013740100079,0.0181100316555","0.0826534049497,0.0923806627215,0.013740100079,0.0157103447763,0.446989564745","0.0906795923192,0.095946846313,0.0163912541913,0.250503276766,0.279862104287,0.0107527032138","0.0843680331934,0.280257161136,0.271809593278,0.0948055831085,0.013740100079,0.0181100316555","0.272297114617,0.0753871210978,0.095056506439,0.0181606746317,0.0121108144574",sph_area_diff
25,20110122,"0.227015511341,0.264926654759,0.0220698600751,0.0247719982694,0.0069104012998,0.0175687533055","0.22929527466,0.26777981277,0.020183877506,0.00295526968048,0.00254924220418,0.0175687533055","0.263530067396,0.271298566314,0.0116874879318,0.000699598162916,0.0121955888739,0.0116709463844","0.275268702705,0.240183925057,0.26777981277,0.0202149547922,0.00839447766619,0.0152704767033,0.0229162708344","0.224978178941,0.266707334507,0.020183877506,0.00681371579783,0.0173076435687,0.00767205498525","0.258078863753,0.268303514632,0.016384187053,0.0168207295743,0.0139692229866,0.0105266801356","0.233866509267,0.269560492518,0.0146365219991,0.00133986965167,0.0152704767033","0.237551610426,0.269560492518,0.0175327233938,0.00601170823025,0.0152704767033,0.00045012864786","0.239556454538,0.269560492518,0.0175327233938,0.00422089039711,0.494648288264,0.0139183933851,0.0152704767033","0.231292376719,0.264926654759,0.0172348434386,0.267336772883,0.257808819948,0.00994673727347,0.0152704767033,0.00431004899977","0.26382419579,0.26881241426,0.242897861392,0.266707334507,0.0191958003931,0.0109361467487,0.0173076435687,0.0105266801356","0.230769778924,0.264057617861,0.0146365219991,0.00016647276824,0.015848122048",sph_area_diff
26,20110123,"0.00701658056113,0.00245738441397,0.0105991886574,0.032254460066,0.428570417496","0.00701658056113,0.00245738441397,0.010776345777,0.41255703813,0.0344270624517","0.240577212066,0.0133689770401,0.00682654704853,0.438838009665,0.0030231451453,0.0295201260277","0.246209260475,0.009895917562,0.00415183046895,0.443031895312,0.00546564209308,0.0331196563465","0.00701658056113,0.00245738441397,0.0030231451453,0.0365670712498,0.441647557336","0.238394697549,0.260792054302,0.29936893808,0.00415183046895,0.0030231451453,0.032967540931,0.443117110727","0.00701658056113,0.00415183046895,0.418913601443,0.00546564209308,0.032967540931","0.009895917562,0.00245738441397,0.00546564209308,0.0295201260277","0.214682308447,0.009895917562,0.00245738441397,0.00800731117555,0.032967540931,0.429284252214","0.00701658056113,0.238524033476,0.301593499134,0.00245738441397,0.297021409585,0.027347523642,0.00800731117555,0.495201795857,0.431576921527","0.237092078914,0.2878092107,0.00245738441397,0.0115243966698,0.0295201260277,0.450227942061","0.00872847536779,0.00245738441397,0.490098215441,0.00898272758734,0.025158241361,0.0257981823267",sph_area_diff
27,20110124,"0.00105598959964,0.00338507432207,0.0763131620963,0.00978303972254,0.00904897192635","0.00746861603652,0.00338507432207,0.102813779603,0.0289521098259,0.01040708317","0.236655837966,0.0103479530374,0.00338507432207,0.097912726609,0.0288529376912,0.00546612150287","0.00105598959964,0.328063464277,0.0008434052396,0.0787868596896,0.0273237785274,0.00546612150287","0.00326301590167,0.0008434052396,0.320623944659,0.0277044013504,0.00546612150287","0.00338507432207,0.0130615786106,0.0765597410384,0.00680755285113,0.0252619044026","0.00746861603652,0.00338507432207,0.103135636898,0.0225248551046,0.00546612150287","0.00746861603652,0.00338507432207,0.324190617939,0.315380328416,0.0219704961048,0.00680755285113","0.00314961053522,0.0008434052396,0.107446008435,0.0305160146906,0.00546612150287","0.00105598959964,0.316544817196,0.00603622843434,0.323775048765,0.00272237797625,0.0167909498589,0.118586636559","0.00429087373966,0.00633410838946,0.0651343033918,0.0277044013504,0.000877152342615","0.328294918702,0.31165341055,0.00860987924096,0.00338507432207,0.400866531224,0.0405240904808,0.0277044013504,0.00306643462363",sph_area_diff
28,20110125,"0.361161370632,0.0139486644354,0.243167383104,0.00870539060054,0.359216671712,0.325988483853","0.0427417641022,0.0121199268266,0.211326638316,0.00237334778212,0.353340715712,0.329982419598","0.374550949652,0.401621131976,0.363018496046,0.273694005892","0.0166857137335,0.0406180929252,0.0427417641022,0.310886549533,0.239126214507,0.00480960275544,0.352833533872","0.0363734347307,0.0427417641022,0.0138143728816,0.324629137175,0.21075138355,0.00444893564867,0.357740470296","0.0166857137335,0.2358675401,0.00614338170365,0.35556786791,0.316095246173","0.019227382816,0.228111263309,0.000678901727139,0.352885670666,0.315068839326","0.30786310413,0.043281525405,0.0427417641022,0.0166857137335,0.225007609779,0.000678901727139,0.354520139886,0.323624494246","0.361161370632,0.0110773235835,0.202703345575,0.00623785491632,0.356508033269,0.320145839118","0.361161370632,0.00452272543052,0.165360891809,0.0032923806661,0.0177048473527,0.326095247652","0.0109713904858,0.254986133844,0.00725209970322,0.0212015357388,0.316575818312","0.0427417641022,0.0166857137335,0.00617174015986,0.0225596469825,0.313751040346,0.271267055531",sph_area_diff
29,20110126,"0.0653942995933,0.189610390941,0.00127029821335,0.33089399512,0.339265317991","0.0045680297605,0.068341576327,0.0992052874053,0.154721259498,0.00097574586304,0.332969031903,0.332386021388","0.195336187831,0.00726677108684,0.326796298661,0.319738624657","0.0757243611057,0.178456612258,0.0414501493894,0.316089820855","0.0941905499479,0.166162311401,0.004117905197,0.326812978556,0.331955739826","0.0848848394404,0.197060030718,0.00146675108473,0.330412508875,0.325264008454","0.0719590490824,0.104375019893,0.177048337258,0.000718700191938,0.323401020552,0.326116642809","0.0497220034183,0.000424147841627,0.329108947444,0.328735770793","0.0372675835852,0.0045680297605,0.149674238047,0.0032603692744,0.334622278126,0.330043583499","0.0124202779206,0.00511118863586,0.103462190637,0.000718700191938,0.328850145422,0.329220415166,0.122700301801","0.0901617438865,0.104577312647,0.0744907005736,0.201050091486,0.00841530742763,0.328416457698,0.325160254866","0.0798245750599,0.0977164386938,0.214043020927,0.00316119713971,0.326796298661,0.332241399291",sph_area_diff
30,20110128,"0.105845335297,0.101795152748,0.115793007317,0.067652652806,0.0813446010199","0.0484580152087,0.0363696032055,0.049144862444,0.457790006816,0.476947462614","0.0460259733286,0.0560519185264,0.0711953354091","0.0421942574605,0.0423285228542,0.0117578333861","0.0437676550086,0.0403357424109,0.0582506424123,0.0579086874188,0.0748934126936","0.053679475577,0.0475080691,0.0506689908444,0.0712120153044","0.0475080691,0.0537776370314,0.0440701576896,0.0638826188845,0.0736874168655","0.0985896402458,0.101988798096,0.0581275063929,0.0733846176901","0.0766592193887,0.000391215007184,0.0568747087482,0.0767632159038","0.0790912612689,0.00460147799522,0.063221157453,0.0718222542367","0.0498576891967,0.0447049050455,0.0566730865581,0.0750840505992","0.0484580152087,0.0404404314518,0.0459874249306,0.0684102962322",sph_area_diff
31,20110129,"0.0411253206655,0.129650890048,0.135428142124","0.119077419809,0.0394073121432,0.103032207856,0.0831653652143","0.13894310469,0.0465135240758,0.0731582443334,0.096094033469","0.0394073121432,0.0342100028024","0.128635531048,0.0465135240758,0.163545391721,0.10101556556,0.0856426078629","0.0421443614413,0.0783710473754,0.0907027558153","0.0391953273739,0.140022025866,0.10230108617,0.105303142048","0.037684507632,0.125560648013,0.138853743451","0.0338071239635,0.448470334184,0.473050746652","0.0394073121432,0.46922105337,0.447997089499","0.124792012155,0.0465135240758,0.173381489983,0.0787999846177,0.102253173613","0.0421443614413,0.00620658738795,0.0771914337485,0.0913991567849",sph_area_diff
32,20110130,"0.255805398628,0.00131672931637,0.00420663029587,0.0709637277269,0.0952541821423","0.00658672240289,0.231877762687,0.238049059513,0.00420663029587,0.0599841614789,0.0855047508655","0.00588390314805,0.257129324224,0.0289256642365,0.008312204243,0.0510745727236,0.0797081307355","0.23274527817,0.00171993891163,0.00139355788379,0.232319348793,0.0313872704602","0.00171877924176,0.238145910099,0.00136390135226,0.0725364698764,0.0802738252445","0.237270972165,0.0126813668776,0.057233835232,0.0724931564057","0.223255848557,0.0126813668776,0.00172805323809,0.0682266784288,0.0815977807898","0.00588390314805,0.0194702335116,0.0684308959293,0.085630425082","0.00131672931637,0.00213472923966,0.490848023575,0.118189092696,0.132085683459","0.00131672931637,0.00592463881816,0.622389601116,0.634956454228","0.2454818831,0.00172805323809,0.0126813668776,0.243089675353,0.0624266584267,0.0878030274677","0.00172092029714,0.0658892268468,0.0807249203137",sph_area_diff
33,20110131,"0.281545734694,0.0902683370846,0.103802652219","0.25890845432,0.0260573667617,0.0775265217026,0.102089678708","0.284373217843,0.0318336434868,0.021957719842,0.0670407751981,0.101001199302","0.0318336434868,0.0527573572575","0.0242216871007,0.236870244634,0.00815934167068,0.0711053336688,0.100630157187","0.0318336434868,0.0699966156693,0.104229687506","0.0318336434868,0.0711053336688,0.102920849745","0.0272664696552,0.0737666495908,0.109801869417,0.00561057492129","0.0173687312507,0.0789046649713,0.109801869417","0.284473013374,0.605956918212,0.63582976773","0.269718661613,0.0272813080493,0.281137480157,0.0173687312507,0.0747894724045","0.0659320571985,0.104229687506",sph_area_diff
34,20110201,"0.299544769844,0.0882647692633,0.000666936316501,0.0968158585233","0.284855411199,0.0880989174151,0.0579142460511","0.300831608981,0.0816613786409,0.0554050659964","0.0765015338495,0.0487674178504","0.0474292137635,0.0814084702735,0.0642266384739","0.23333236097,0.0543446043514,0.0730086901371","0.0613128827057,0.0841564102892","0.0765939535787,0.0595750663773,0.00469686712144","0.0649632697877,0.0869066580196","0.00258146738827,0.0569475021091,0.0780785282175","0.290283945059,0.08481735436,0.0596845514071","0.053758876296,0.0829905920927",sph_area_diff
35,20110202,"0.250665499994,0.0845702154657,0.0882011415287,0.0850879870184","0.250872521035,0.253262086392,0.087368652621,0.0886067826368,0.0850879870184","0.256421297297,0.0857758949886,0.0778008676026,0.0737213485604","0.252626267324,0.13321618579,0.0532379849302,0.0878156292984","0.0728285814673,0.0864473570994,0.0836567251185","0.0831718297632,0.207557285701,0.0673423198236,0.0790339919979","0.0713115986677,0.0115682671473,0.080929658124,0.0756930024182","0.573410406158,0.060924398718,0.090711830693","0.0866774682095,0.088924347298,0.0920617815843","0.0724464598169,0.0115682671473,0.242651167344,0.570893957507,0.090711830693,0.0916260532065","0.115274506039,0.25513445816,0.260184991684,0.0864473570994,0.085778951424","0.0843329638695,0.088924347298,0.0824045213987",sph_area_diff
36,20110203,"0.216446569732,0.092170789689,0.0942492898346","0.00438992005859,0.201511307306,0.376790036361,0.0742066890164,0.0789958745817","0.204209349584,0.35825652536,0.0239482009922","0.00382907730588,0.016364677188,0.0187178593177","0.0151174391173,0.0158993458056,0.0594694280977","0.168975266177,0.0713325631908,0.0680993905659","0.359984717881,0.0738875492594,0.0735540254039","0.00313442955899,0.371695867502,0.0759586231854,0.0747986868473","0.0151324806833,0.378200284399,0.080374952361,0.0937673153668","0.0261117502531,0.0150768931863,0.0728578863786,0.08747519592,0.3698263449","0.00937168717365,0.207793714587,0.080840596679,0.0834491764091","0.36546406768,0.0818361290232,0.0662488914491",sph_area_diff
37,20110204,"0.178305000553,0.24193716746,0.228222635462,0.0279939815531","0.206999857899,0.234501012401,0.156263610046,0.238176625779,0.0372356785237,0.426529993918","0.212855736187,0.220773963973,0.232863161698","0.129349365767,0.232918963559,0.236342787271","0.190553863471,0.215263612265,0.0422733944931,0.426050712133,0.0355243451697","0.216725238571,0.157453147768,0.231334002534,0.0397773476062","0.0206810992588,0.0389319876394,0.242195970719,0.40796950499,0.0672750526134","0.0416624358328,0.232052695725","0.144871456921,0.188234231793,0.172166976497,0.031295775539","0.19757196252,0.213494836271,0.242799075716,0.219133269203,0.0370779371393,0.409746842668","0.234463925941,0.23915686956,0.113352630073,0.0350759363534,0.233745130426,0.0316600529959,0.413494581216","0.134543451135,0.200587148147,0.227107335182,0.226319841834,0.0672750526134",sph_area_diff
38,20110205,"0.251272615895,0.0995154697866,0.0562764666368","0.184075983779,0.094226955101","0.25119457575,0.250161049602,0.0995590632738","0.185087779161,0.250028037243","0.226962925225,0.248462973358,0.0659402157512,0.0953229139635,0.0411530454958","0.239097661144,0.228467514884,0.0771347993904","0.225605188197,0.215190988627,0.0388512762935,0.0976780767579,0.343796115521","0.211726628553,0.0537302894782,0.19535788317","0.171443993028,0.0592426113794,0.0562764666368,0.0382589810572","0.22220189127,0.256323149418,0.0693574663173,0.0535271393222,0.0464115067526,0.082258517135","0.20209647738,0.0667189971367,0.214482832997,0.0412680598846","0.22615432305,0.0774740944533,0.238518301519,0.207944417111,0.106648398742",sph_area_diff
39,20110206,"0.169001439795,0.184310719579,0.0373194004103","0.167054620906,0.0814972557856,0.186529665014","0.160525250185,0.163196160271,0.169987979685","0.110899330338,0.190241280771","0.195365706746,0.230234823477,0.222448540385,0.668983980077","0.174562024247,0.246215220622,0.693475724237,0.69389001931","0.0587217986199,0.0226442067572,0.176486581752,0.69728529742,0.701513595288","0.18975035916,0.172934689291,0.0407699401746,0.136103976185","0.126255679641,0.242272620513,0.229807679168","0.205422132804,0.234647060792,0.244738899265,0.256600014616,0.256884500304,0.690624200399","0.0506883365227,0.0617314768607,0.185939050878,0.168315683385,0.00350596828301,0.0344533046939","0.0618102038863,0.171385244199,0.174468808031",sph_area_diff
40,20110207,"0.296170028007,0.0118585157225,0.691655333333,0.699502858037","0.165368815421,0.244722963826,0.174604175412,0.0161112135305","0.244323870858,0.313618231874,0.285215200702,0.00605952524115,0.597022531014,0.605973618805","0.0038475428707,0.249092126461","0.0637863469981,0.2991372249,0.698312407805",0.0158959128721,"0.229368745949,0.244722963826,0.0767301254574,0.593185200395","0.0702843020279,0.242953543386","0.273561739877,0.326453484906,0.698312407805","0.0178028219846,0.304534207292,0.0350170183442,0.691317599377","0.165073232599,0.00296498705005,0.0107101916081,0.689276795864","0.326082925051,0.294936496976",sph_area_diff
41,20110208,"0.28984506465,0.272964919463,0.550773704144,0.557051123735","0.255396525644,0.012160637866,0.262912616691,0.480945757776","0.0207239559884,0.477651889944",0.0121123815113,"0.0776013901411,0.251376648451,0.480835108313","0.247699980898,0.0159403842846,0.484250492995","0.0766401136479,0.258323804325,0.477439830204","0.0357547851473,0.258323804325","0.333242708273,0.257028626158,0.474036008788","0.340189864147,0.294771418973,0.546905256558","0.00618182031892,0.546803846281,0.554548420729",0.340189864147,sph_area_diff
42,20110209,"0.384550614516,0.00543323431417,0.477698614936","0.334164780694,0.00617810156031,0.268457492897","0.0576741560431,0.0132014774772,0.406722581233","0.0685339751776,0.0029349496171,0.354226837625","0.0908565174295,0.329570635331,0.484693423364","0.331756547642,0.0255775379512","0.273642277524,0.338555698715,0.0661340120432,0.00373056582015,0.416872767064","0.390678679282,0.397533608101","0.399209110236,0.0463781729593,0.00827866650365,0.420268045173","0.376232940374,0.0366890377304,0.478583556703","0.386387556792,0.0440311537622,0.0001751558359,0.478583556703","0.041673713232,0.339914041217,0.0356502621338",sph_area_diff
43,20110210,"0.377877819309,0.377826214941","0.298021567432,0.0418248455647","0.340553516864,0.0215464528092,0.363366224505,0.37907967427","0.0437857478855,0.305417804279","0.318015364482,0.363561876077",0.348147020166,"0.269007210268,0.0270986222604,0.0855149743517,0.0275605594844","0.0614635151846,0.240139772378,0.0589668734528,0.276443365327","0.37638275118,0.392536315029","0.349710371236,0.335247000179","0.277986629047,0.304034095925,0.361964258763","0.293362643314,0.301548754263,0.0455455200719",sph_area_diff
44,20110211,"0.255275477691,0.323320569646,0.26747803594","0.27475167851,0.198331174634,0.330651243554","0.233250877947,0.000947688866358,0.310871065228","0.279292613369,0.336439926427,0.186857561415,0.335201834425,0.4014765738","0.309541403861,0.196912824096,0.00554126890371,0.0233333884358",0.263916788052,"0.0755114892694,0.24854282357,0.310871065228,0.00116805541548","0.271557086231,0.283217381146,0.232864005274,0.412033981989","0.262633310634,0.303608806355,0.0227475922612,0.41024833541","0.298881244308,0.0235154581265","0.315240227863,0.0194701153435,0.0928662716049,0.468884758004,0.0197383965417","0.333467794828,0.224605541219,0.264705261545,0.33078227874,0.327861535408,0.401022012182",sph_area_diff
45,20110212,"0.265557797196,0.340090765529","0.337944888393,0.420710271722,0.411611823447","0.245727336859,0.268429138048","0.0819162989855,0.264038220027,0.00984282687168,0.301594265861","0.240769988487,0.0889203015367,0.261166879175,0.000953516162647","0.224970145757,0.0622285720546,0.00931218667571,0.41845451646,0.415755429659","0.0167233782746,0.259565422494,0.265195914178,0.0219621372313,0.340975707296","0.239336080471,0.260955896529,0.270555202191,0.269667230049,0.0108284911209,0.330645894141","0.26108883903,0.0109243187389,0.43614234713","0.0469763697987,0.271649843254,0.0620035894904,0.41845451646","0.0575648712448,0.268329342516,0.412548902009","0.254975116498,0.309034731801",sph_area_diff
46,20110213,0.461832151747,"0.4707174196,0.343019368189","0.0140054282147,0.35739243205,0.345317644791,0.350968678162","0.36482858711,0.301587204786","0.357881431236,0.0186219811068",nan,"0.361901308429,0.448655554291","0.00541475574821,0.335528973939,0.33605648991","0.40820675281,0.452633364399","0.0296748510813,0.384320908741,0.397676024419,0.451165890633,0.452123459598","0.0367091789852,0.445260276182,0.45060516375","0.514620300302,0.315166831717",sph_area_diff
47,20110214,"0.231769102912,0.105918208252","0.210842465367,0.104407027886,0.101708439001","0.208045684145,0.0544041718239","0.213934799307,0.064944103674,0.061648929812","0.202371720686,0.102961411102,0.0854797592509,0.103710879608,0.105918208252",0.104978042893,"0.029757394076,0.0366474870786","0.00688705391428,0.0459634349734,0.0345548275234","0.301965255396,0.0780069861396,0.101008185031,0.107535128655","0.243642037572,0.217821868062,0.0125582035698,0.214909339429,0.0324588093116","0.000731410797897,0.100004050494,0.105166187112",0.339708122957,sph_area_diff
48,20110215,"0.303816955337,0.323341377548","0.0809258723031,0.277436307585,0.272092048185","0.270311368437,0.277436307585,0.0646731551314","0.266314221273,0.259971948884,0.147134700619,0.0333190316796","0.267316316755,0.280440590938,0.130536342553,0.129307394808","0.312547434007,0.331841966279,0.235947156504","0.272092048185,0.277436307585,0.0348853425246,0.0087124164599","0.264705074363,0.264400976626,0.0705749149462","0.258547636241,0.261779479046,0.287496404268,0.0392323988759,0.0323082512134,0.147231517277,0.163064870744","0.0192442650151,0.151712554352,0.266142206974,0.268935718854","0.324302940699,0.316106449705","0.268855890355,0.26739918486",sph_area_diff
49,20110216,"0.179755811022,0.200138831771,0.200978797305","0.179900320073,0.181496205574","0.166960453739,0.181496205574","0.168154078596,0.172725348209","0.17599541344,0.191685743127,0.0761899624745,0.0125817943074","0.196161249231,0.211752671531","0.167065820868,0.184500488926","0.153297735687,0.172725348209","0.151974513368,0.172669442986,0.0037994588824,0.0235046857579,0.0169470690833","0.00558991720327,0.168542019584,0.180264373789","0.200559650213,0.211752671531","0.175581314572,0.181496205574",sph_area_diff
