,Date,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,feature
20,20100807,"0.516962210135,0.477226913722,0.960503409306,0.614390522993,1.4050165404","0.443447494248,0.638145495134,0.445119436472,0.907722607847,0.451343934148,1.4347764596","0.619186511393,0.451343934148,1.4347764596,0.660647743269,0.960503409306","0.42287427537,1.4050165404,0.451343934148,0.960074201164","0.960074201164,0.451343934148,1.4050165404","0.724916852663,0.451343934148,1.4050165404,0.960074201164","0.451343934148,0.907722607847,1.4050165404","1.4050165404,0.477226913722","0.960503409306,0.588699230773,1.4347764596,0.451343934148","0.362813564215,0.715212858862,0.602727849956,0.446181102371,0.960074201164,1.4050165404","0.907722607847,1.4347764596,0.451343934148","0.347945563533,0.545041468602,0.451343934148,1.4347764596,0.907722607847",sph_dist
21,20100808,"0.699224453504,0.436540950553,0.607217143693,1.24678019488",0.436540950553,"1.24678019488,0.418537835747","0.674445004487,0.436540950553,1.28583853902,1.24678019488","0.436540950553,1.24678019488","0.699224453504,0.436540950553,1.24678019488","1.24678019488,0.436540950553","0.674445004487,1.24678019488,0.451343934148","0.622454422076,1.24678019488,0.436540950553","0.699224453504,0.618657823449,0.802285386795,0.61462184274,1.24678019488,0.436540950553","1.24678019488,0.436540950553","0.699224453504,1.24678019488,0.436540950553",sph_dist
22,20100809,"0.296369443541,0.564214648431,0.856331275803,0.441321068316,1.64424034647","0.307570280567,0.564214648431,0.711353292563,0.441321068316,1.64424034647","0.307570280567,0.441321068316,1.64424034647","0.296369443541,0.564214648431,0.66299508567,1.64424034647,0.441321068316","0.35558236478,0.547364181794,0.441321068316,1.64424034647","0.35558236478,0.441321068316,1.64424034647","0.307570280567,0.69486837363,0.441321068316,1.64424034647","0.296369443541,0.441321068316,0.789736111857,1.64424034647","0.35558236478,0.441321068316,0.731541565053,1.64424034647","0.564214648431,0.35558236478,0.936963947726,0.441321068316,1.64424034647,0.74271763156","0.307570280567,0.564214648431,0.441321068316,1.64424034647","0.307570280567,0.620074549536,0.441321068316,1.64424034647,0.754550296905",sph_dist
23,20110120,"0.186389036284,0.388482435611,0.560694349658,1.02510330198,1.11896898193,0.313205157099","0.349267251198,0.539394724054,0.998441941911,1.1125152025,0.313205157099","0.556964426765,1.11896898193,1.04293157052,0.380411578712","0.349065850399,0.560694349658,0.998441941911,1.11896898193,0.313205157099","0.539394724054,0.998441941911,1.11896898193,0.353247882862","0.560694349658,0.998441941911,1.11896898193,0.313205157099","0.560694349658,0.998441941911,1.11896898193,0.353247882862","0.556964426765,1.04293157052,1.11896898193,0.313205157099","0.556964426765,0.998441941911,1.11896898193,0.341202334104,0.313205157099","0.27722480794,0.556964426765,0.998441941911,1.11896898193,0.134144371209,0.380411578712","0.563657143292,0.332165112867,0.384725611502,0.998441941911,1.11896898193,0.313205157099","0.539394724054,0.998441941911,1.11896898193,0.313205157099",sph_dist
24,20110121,"0.550770879499,0.915424163223,1.1125287942,0.415230911695","0.508477137138,0.886091540026,1.10546037663,0.415230911695","0.601436850954,0.886091540026,1.1125287942,0.415230911695","0.317886437914,0.578926307734,0.915424163223,1.1125287942,0.387088325484","0.437895505494,0.886091540026,1.10546037663,1.14937307489,0.415230911695","0.618182886288,0.886091540026,1.1125287942,0.183100977255,0.415230911695","0.57653584256,0.886091540026,1.1125287942,0.415230911695","0.508477137138,0.886091540026,1.1125287942,0.387088325484","0.550770879499,0.886091540026,1.1125287942,0.415230911695,0.259054159697","0.578926307734,0.886091540026,1.10546037663,0.309922974012,0.328805592711,0.457531803232","0.508477137138,0.320582812318,0.349282783352,0.886091540026,1.1125287942,0.387088325484","0.262068058985,0.410063461916,0.886091540026,1.10546037663,0.457531803232",sph_dist
25,20110122,"0.261799387799,0.624559274181,0.232127457706,0.330282919008,1.29932286846,0.864226143593","0.261799387799,0.659003263928,0.232127457706,0.31030267065,1.25583818553,0.864226143593","0.261799387799,0.659003263928,0.232127457706,0.317018096811,1.25583818553,0.836653068488","0.259885021106,0.210614836689,0.659003263928,0.232127457706,1.25583818553,0.836653068488,0.309344466939","0.216678478277,0.624559274181,0.232127457706,1.25583818553,0.836653068488,0.31260667128","0.210614836689,0.659003263928,0.232127457706,1.27351474056,0.864226143593,0.31030267065","0.210614836689,0.659003263928,0.232127457706,1.29932286846,0.836653068488","0.210614836689,0.659003263928,0.232127457706,1.29932286846,0.836653068488,0.31260667128","0.210614836689,0.659003263928,0.232127457706,0.31260667128,0.29523021407,1.25583818553,0.836653068488","0.261799387799,0.624559274181,0.232127457706,0.191986217719,0.245652130059,1.27351474056,0.836653068488,0.317018096811","0.226892802759,0.252395964976,0.261799387799,0.624559274181,0.232127457706,1.25583818553,0.836653068488,0.31030267065","0.210614836689,0.617617000094,0.232127457706,1.29932286846,0.837980084172",sph_dist
26,20110123,"0.855368970095,0.205266332121,1.20396914585,0.750977233486,0.366751593334","0.855368970095,0.205266332121,1.15958711184,0.293282472462,0.750977233486","0.459967515859,0.855368970095,0.205266332121,0.438519391288,1.15958711184,0.710579678305","0.262098824027,0.855368970095,0.205266332121,0.412606043681,1.15958711184,0.710579678305","0.855368970095,0.205266332121,1.15958711184,0.747176288454,0.366751593334","0.456039254102,0.124415404632,0.898608498554,0.205266332121,1.15958711184,0.747176288454,0.42921174592","0.855368970095,0.205266332121,0.379536284696,1.15958711184,0.747176288454","0.855368970095,0.205266332121,1.15958711184,0.710579678305","0.459967515859,0.855368970095,0.205266332121,1.15958711184,0.747176288454,0.412230505784","0.855368970095,0.2263050201,0.19235674739,0.205266332121,0.856767723487,0.710579678305,1.15958711184,0.453316133641,0.412230505784","0.262098824027,0.837199922417,0.205266332121,1.15958711184,0.710579678305,0.443198227026","0.855368970095,0.205266332121,0.384414914822,1.15958711184,0.704897615479,0.495488842127",sph_dist
27,20110124,"0.820471596582,0.157962359077,0.372063374733,1.36996899408,0.773524736988","0.820471596582,0.157962359077,0.354437074449,1.20549952972,0.773524736988","0.342272135009,0.820471596582,0.157962359077,0.354437074449,1.20549952972,0.773783215039","0.820471596582,0.33182956996,0.157962359077,0.354437074449,1.20549952972,0.773783215039","0.820471596582,0.157962359077,0.346893825772,1.20549952972,0.773783215039","0.157962359077,0.87282192986,0.34643289791,0.773524736988,1.20549952972","0.820471596582,0.157962359077,0.372063374733,1.23454857022,0.773783215039","0.820471596582,0.157962359077,0.214101273305,0.294781063067,1.27786979722,0.773524736988","0.820471596582,0.157962359077,0.354437074449,1.16169049306,0.773783215039","0.820471596582,0.332479721779,0.156983212248,1.13601332182,0.773524736988,1.29697655131,0.354437074449","0.820471596582,0.157962359077,0.372063374733,1.20549952972,0.773524736988","0.296932271469,0.332479721779,0.820471596582,0.157962359077,0.369790528767,0.354437074449,1.20549952972,0.773783215039",sph_dist
28,20110125,"0.266891254435,0.130053649061,0.38642344463,1.09248065723,1.32182654094,1.21492224959","0.266891254435,0.130053649061,0.325489196339,1.09248065723,1.31954825865,1.22118155659","1.09248065723,1.34990380253,1.22118155659,0.448323852359","0.130053649061,0.136426003257,0.266891254435,1.21492224959,0.42541858563,1.09248065723,1.34990380253","0.092787324609,0.266891254435,0.130053649061,1.22118155659,0.393723679161,1.09248065723,1.34990380253","0.130053649061,0.448323852359,1.09248065723,1.31954825865,1.21492224959","0.130053649061,0.409628414355,1.09248065723,1.34032801139,1.22118155659","0.158957602828,0.0626294040426,0.266891254435,0.130053649061,0.425462209553,1.09248065723,1.32182654094,1.20070241905","0.266891254435,0.130053649061,0.407438740976,1.09248065723,1.31954825865,1.22118155659","0.266891254435,0.0977888316951,0.347052271142,1.09248065723,1.35427623858,1.22118155659","0.130053649061,0.42541858563,1.09248065723,1.34990380253,1.22118155659","0.266891254435,0.130053649061,1.09248065723,1.34641479371,1.22118155659,0.514733237295",sph_dist
29,20110126,"0.495094238144,0.453825415279,1.09248065723,1.31823974335,1.28686602057","0.19657747644,0.477969203394,0.483520575286,0.291434705057,1.09248065723,1.32074394409,1.26977558088","0.496523233737,1.09248065723,1.34821645917,1.28686602057","0.477969203394,0.454723577197,1.09248065723,1.27886666577","0.52128977664,0.448323852359,1.09248065723,1.32074394409,1.28318190801","0.439119825891,0.467222233812,1.09248065723,1.32074394409,1.28686602057","0.517500209898,0.483520575286,0.422910797945,1.09248065723,1.33807332229,1.28318190801","0.468891247317,1.09248065723,1.32074394409,1.26977558088","0.458329511329,0.19657747644,0.42541858563,1.09248065723,1.35293403365,1.31195893409","0.679934713978,0.151246653436,1.08805665342,1.09248065723,1.32074394409,1.28686602057,0.448323852359","0.468891247317,0.50193057713,0.495094238144,0.453825415279,1.09248065723,1.35293403365,1.28686602057","0.517500209898,0.468891247317,0.514733237295,1.09248065723,1.34821645917,1.28686602057",sph_dist
